competencia,uf,municipio,code_muni,cnes,estabelecimento,tipo_unidade,pessoa_fisica_ou_pessoa_juridi,logradouro,numero,bairro,cep,latitude,longitude,atende_sus,instal_fisica_ambu,instal_fisica_hospt,instal_fisica_urgencia,complex_alta_ambu_est,complex_alta_ambu_mun,complex_baix_ambu_est,complex_baix_ambu_mun,complex_medi_ambu_est,complex_medi_ambu_mun,complex_alta_hosp_est,complex_alta_hosp_mun,complex_baix_hosp_est,complex_baix_hosp_mun,complex_medi_hosp_est,complex_medi_hosp_mun,complex_nao_aplic_est,complex_nao_aplic_mun,health_low,health_med,health_high,lat_digits,lon,lat,ndigitos,latlon,MatchedAddress,SearchedAddress,PrecisionDepth,geocode_engine,year,n
201710,AL,MACEIO,270430,7525249,APAE MACEIO AUDIOVISUAL,36 - CLINICA/CENTRO DE ESPECIALIDADE,PESSOA_JURÍDICA,RUA DR ALBINO MAGALHAES,135,FAROL,57050080,NA,NA,SIM,X,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,-35.732515,-9.6485369,NA,NA/NA,"R. Dr. Albino Magalhães, 135 - Farol, Maceió - AL, 57050-080, Brazil","RUA DR ALBINO MAGALHAES, 135 - MACEIO, AL - CEP 57050080",street_number,gmaps_prob1,2017,1
201710,AL,MACEIO,270430,2008750,MINI PRONTO SOCORRO ASSIS CHATEAUBRIAND,20 - PRONTO SOCORRO GERAL,PESSOA_JURÍDICA,AV DURVAL DE GOES MONTEIRO,S/N,TABULEIRO,57080000,NA,NA,SIM,X,NA,X,NA,NA,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,-35.7601772,-9.5899973,NA,NA/NA,"Av. Durval de Góes Monteiro, Maceió - AL, Brazil","AV DURVAL DE GOES MONTEIRO, S/N - MACEIO, AL - CEP 57080000",route,gmaps_prob1,2017,1
201710,AL,MACEIO,270430,5937906,ANGIONEURO,39 - UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),PESSOA_JURÍDICA,AV FERNANDES LIMA,5,FAROL,57055000,NA,NA,SIM,X,X,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,-35.7380329,-9.626432099999999,NA,NA/NA,"Av. Fernandes Lima, 5 - Gruta de Lourdes, Maceió - AL, 57055-000, Brazil","AV FERNANDES LIMA, 5 - MACEIO, AL - CEP 57055000",street_number,gmaps_prob1,2017,1
201710,AL,MACEIO,270430,2006952,CLINICA DE DOENCAS RENAIS LTDA,36 - CLINICA/CENTRO DE ESPECIALIDADE,PESSOA_JURÍDICA,RUA PROF JOSE DA SILVEIRA CAMERINO,1065,FAROL,57057250,NA,NA,SIM,X,NA,NA,NA,X,NA,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,-35.7433327,-9.6271148,NA,NA/NA,"R. Prof. José da Silveira Camerino, 1065 - Pinheiro, Maceió - AL, 57057-250, Brazil","RUA PROF JOSE DA SILVEIRA CAMERINO, 1065 - MACEIO, AL - CEP 57057250",street_number,gmaps_prob1,2017,2
201710,AL,MACEIO,270430,2816873,UNIDADE DE SAUDE DR ARTHUR RAMOS,02 - CENTRO DE SAUDE/UNIDADE BASICA,PESSOA_JURÍDICA,RUA J QUADRA II CONJ EQUELMAN,S/N,TABULEIRO,57084030,NA,NA,SIM,X,NA,NA,NA,NA,NA,X,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,-35.7427716,-9.5629609,NA,NA/NA,"R. N Cj Henrique Equelman - Antares, Maceió - AL, 57048-178, Brazil","RUA J QUADRA II CONJ EQUELMAN, S/N - MACEIO, AL - CEP 57084030",route,gmaps_prob1,2017,1
201710,AL,MACEIO,270430,2005530,CENTRO DE SAUDE DR HAMILTON FALCAO,02 - CENTRO DE SAUDE/UNIDADE BASICA,PESSOA_JURÍDICA,AV NORMA PIMENTEL DA COSTA,S/N,BENEDITO BENTES I,57084040,NA,NA,SIM,X,NA,NA,NA,NA,NA,X,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,-35.7262609,-9.5502554,NA,NA/NA,"Av. Norma Pimentel Costa - Benedito Bentes, Maceió - AL, 57084-650, Brazil","AV NORMA PIMENTEL DA COSTA, S/N - MACEIO, AL - CEP 57084040",route,gmaps_prob1,2017,1
201710,AL,MACEIO,270430,6817017,PRONEFRON,36 - CLINICA/CENTRO DE ESPECIALIDADE,PESSOA_JURÍDICA,AVENIDA FERNANDES LIMA,5,FAROL,57055500,NA,NA,SIM,X,NA,NA,NA,X,NA,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,-35.7380329,-9.626432099999999,NA,NA/NA,"Av. Fernandes Lima, 5 - Gruta de Lourdes, Maceió - AL, 57055-000, Brazil","AVENIDA FERNANDES LIMA, 5 - MACEIO, AL - CEP 57055500",street_number,gmaps_prob1,2017,1
201710,AM,MANAUS,130260,2018500,CAIC EDSON MELO,36 - CLINICA/CENTRO DE ESPECIALIDADE,PESSOA_JURÍDICA,ALAMEDA COSME FERREIRA,S/N,ZUMBI DOS PALMARES,69083000,NA,NA,SIM,X,NA,NA,NA,NA,NA,X,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,-59.9369376,-3.0770268,NA,NA/NA,"Av. Cosme Ferreira, Manaus - AM, 69083-000, Brazil","ALAMEDA COSME FERREIRA, S/N - MANAUS, AM - CEP 69083000",route,gmaps_prob1,2017,2
201710,AM,MANAUS,130260,3004104,MATERNIDADE AZILDA DA SILVA MARREIRO,07 - HOSPITAL ESPECIALIZADO,PESSOA_JURÍDICA,AV SAMAUMA,S/N,MONTE DAS OLIVEIRAS,69093123,NA,NA,SIM,X,X,X,NA,NA,NA,NA,X,NA,NA,NA,NA,NA,X,NA,NA,NA,NA,1,NA,1,-59.9908376,-3.0095697,NA,NA/NA,"Av. Samaúma, Manaus - AM, Brazil","AV SAMAUMA, S/N - MANAUS, AM - CEP 69093123",route,gmaps_prob1,2017,1
201710,AM,MANAUS,130260,2012030,HOSPITAL E P S DA CRIANCA DA ZONA LESTE,07 - HOSPITAL ESPECIALIZADO,PESSOA_JURÍDICA,ALAMEDA COSME FERREIRA,S/N,SAO JOSE I,69083000,NA,NA,SIM,X,X,X,X,NA,NA,NA,NA,X,X,NA,NA,NA,X,NA,NA,NA,NA,1,1,1,-59.9369376,-3.0770268,NA,NA/NA,"Av. Cosme Ferreira, Manaus - AM, 69083-000, Brazil","ALAMEDA COSME FERREIRA, S/N - MANAUS, AM - CEP 69083000",route,gmaps_prob1,2017,2
201710,AM,MANAUS,130260,2012049,CAIMI DR ANDRE ARAUJO,04 - POLICLINICA,PESSOA_JURÍDICA,AV CAMAPUA,108,CIDADE NOVA II,69097720,NA,NA,SIM,X,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,-59.9636306,-3.0319051,NA,NA/NA,"Av. Camapuã, 108 - Cidade Nova, Manaus - AM, 69099-028, Brazil","AV CAMAPUA, 108 - MANAUS, AM - CEP 69097720",street_number,gmaps_prob1,2017,2
201710,AM,MANAUS,130260,2013649,HOSPITAL PRONTO SOCORRO 28 DE AGOSTO,05 - HOSPITAL GERAL,PESSOA_JURÍDICA,AV MARIO IPIRANGA,1581,ADRIANOPOLIS,69057000,NA,NA,SIM,X,X,X,NA,NA,NA,NA,X,NA,NA,NA,NA,NA,X,NA,NA,NA,NA,1,NA,1,-60.013566,-3.0981768,NA,NA/NA,"Av. Mário Ypiranga, 1581 - Adrianópolis, Manaus - AM, 69029-520, Brazil","AV MARIO IPIRANGA, 1581 - MANAUS, AM - CEP 69057000",street_number,gmaps_prob1,2017,1
201710,AM,MANAUS,130260,2018098,HOSPITAL PORTUGUES,05 - HOSPITAL GERAL,PESSOA_JURÍDICA,AV JOAQUIM NABUCO,1359,CENTRO,69020030,NA,NA,SIM,X,X,X,X,NA,NA,NA,X,NA,X,NA,NA,NA,X,NA,NA,NA,NA,1,1,1,-60.01980399999999,-3.130811,NA,NA/NA,"Av. Joaquim Nabuco, 1359 - Centro, Manaus - AM, 69020-030, Brazil","AV JOAQUIM NABUCO, 1359 - MANAUS, AM - CEP 69020030",street_number,gmaps_prob1,2017,1
201710,AM,MANAUS,130260,2015315,UBS LEONOR DE FREITAS,02 - CENTRO DE SAUDE/UNIDADE BASICA,PESSOA_JURÍDICA,AV BRASIL,S/N,COMPENSA II,69047441,NA,NA,SIM,X,NA,NA,NA,NA,NA,X,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,-60.05326669999999,-3.1071474,NA,NA/NA,"Av. Brasil, Manaus - AM, 69030-665, Brazil","AV BRASIL, S/N - MANAUS, AM - CEP 69047441",route,gmaps_prob1,2017,2
201710,AM,MANAUS,130260,5405718,CEO SUL DR JOSE FORTUNATO DE OLIVEIRA,36 - CLINICA/CENTRO DE ESPECIALIDADE,PESSOA_JURÍDICA,RUA SAO LAZARO,S/N,SAO LAZARO,69050000,NA,NA,SIM,X,NA,NA,NA,NA,NA,X,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,-59.99400009999999,-3.1348986,NA,NA/NA,"R. São Lázaro, Manaus - AM, 69073-090, Brazil","RUA SAO LAZARO, S/N - MANAUS, AM - CEP 69050000",route,gmaps_prob1,2017,1
201710,AM,MANAUS,130260,2019434,CDR,36 - CLINICA/CENTRO DE ESPECIALIDADE,PESSOA_JURÍDICA,AV JOAQUIM NABUCO,1359,CENTRO,69020030,NA,NA,SIM,X,NA,NA,X,NA,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,-60.01980399999999,-3.130811,NA,NA/NA,"Av. Joaquim Nabuco, 1359 - Centro, Manaus - AM, 69020-030, Brazil","AV JOAQUIM NABUCO, 1359 - MANAUS, AM - CEP 69020030",street_number,gmaps_prob1,2017,1
201710,AM,MANAUS,130260,6627595,INSTITUTO DA MULHER DONA LINDU,07 - HOSPITAL ESPECIALIZADO,PESSOA_JURÍDICA,RUA MARIO YPIRANGA,1581,ADRIANOPOPLIS,69070000,NA,NA,SIM,X,X,X,X,NA,NA,NA,X,NA,X,NA,NA,NA,X,NA,NA,NA,NA,1,1,1,-60.013566,-3.0981768,NA,NA/NA,"Av. Mário Ypiranga, 1581 - Adrianópolis, Manaus - AM, 69029-520, Brazil","RUA MARIO YPIRANGA, 1581 - MANAUS, AM - CEP 69070000",street_number,gmaps_prob1,2017,1
201710,AM,MANAUS,130260,9008012,POLICLINICA GERONTOLOGICA DA UNATI UEA,04 - POLICLINICA,PESSOA_JURÍDICA,AV BRASIL,S/N,SANTO ANTONIO,69050030,NA,NA,SIM,X,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,-60.05326669999999,-3.1071474,NA,NA/NA,"Av. Brasil, Manaus - AM, 69030-665, Brazil","AV BRASIL, S/N - MANAUS, AM - CEP 69050030",route,gmaps_prob1,2017,2
201710,AM,MANAUS,130260,2018535,CAIC RUBIM SA,36 - CLINICA/CENTRO DE ESPECIALIDADE,PESSOA_JURÍDICA,AV DESEMBARGADOR JOAO MACHADO,S/N,PLANALTO,69044000,NA,NA,SIM,X,NA,NA,NA,NA,NA,X,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,-60.04438380000001,-3.0720827,NA,NA/NA,"Av. Des. João Machado - Planalto, Manaus - AM, 69044-000, Brazil","AV DESEMBARGADOR JOAO MACHADO, S/N - MANAUS, AM - CEP 69044000",route,gmaps_prob1,2017,1
201710,AM,MANAUS,130260,3368599,SPA ELIAMEME RODRIGUES MADY,73 - PRONTO ATENDIMENTO,PESSOA_JURÍDICA,AV SAMAUMA,S/N,MONTE DAS OLIVEIRAS,69093130,NA,NA,SIM,X,NA,X,NA,NA,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,-59.9908376,-3.0095697,NA,NA/NA,"Av. Samaúma, Manaus - AM, Brazil","AV SAMAUMA, S/N - MANAUS, AM - CEP 69093130",route,gmaps_prob1,2017,1
201710,AM,MANAUS,130260,2018756,POLICLINICA CODAJAS,04 - POLICLINICA,PESSOA_JURÍDICA,AV CODAJAS,26,CACHOEIRINHA,69065130,NA,NA,SIM,X,NA,NA,X,NA,NA,X,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,-60.0030037,-3.1191691,NA,NA/NA,"Av. Codajás, 26 - Praça 14 de Janeiro, Manaus - AM, 69079-000, Brazil","AV CODAJAS, 26 - MANAUS, AM - CEP 69065130",street_number,gmaps_prob1,2017,1
201710,AM,MANAUS,130260,5889545,CER CENTRO ESPECIALIZADO DE REABILITACAO,36 - CLINICA/CENTRO DE ESPECIALIDADE,PESSOA_JURÍDICA,RUA COMANDANTE PAULO LASMAR,S/N,BAIRRO DA PAZ,69050000,NA,NA,SIM,X,NA,NA,NA,NA,NA,X,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,-60.02920959999999,-3.0534168,NA,NA/NA,"R. Cmte. Paulo Lasmar - Da Paz, Manaus - AM, 69049-110, Brazil","RUA COMANDANTE PAULO LASMAR, S/N - MANAUS, AM - CEP 69050000",route,gmaps_prob1,2017,2
201710,AM,MANAUS,130260,2015323,UBS MANSOUR BULBOL,02 - CENTRO DE SAUDE/UNIDADE BASICA,PESSOA_JURÍDICA,AV DESEMBARGADOR JOAO MACHADO,S/N,ALVORADA I,69044000,NA,NA,SIM,X,NA,NA,NA,NA,NA,X,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,-60.04438380000001,-3.0720827,NA,NA/NA,"Av. Des. João Machado - Planalto, Manaus - AM, 69044-000, Brazil","AV DESEMBARGADOR JOAO MACHADO, S/N - MANAUS, AM - CEP 69044000",route,gmaps_prob1,2017,1
201710,AM,MANAUS,130260,3212270,CAIMI ADA RODRIGUES VIANA,04 - POLICLINICA,PESSOA_JURÍDICA,AVENIDA BRASIL,S/N,COMPENSA II,69036110,NA,NA,SIM,X,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,-60.05326669999999,-3.1071474,NA,NA/NA,"Av. Brasil, Manaus - AM, 69030-665, Brazil","AVENIDA BRASIL, S/N - MANAUS, AM - CEP 69036110",route,gmaps_prob1,2017,2
201710,AM,MANAUS,130260,5356989,CEO OESTE PROF JOAO LUIS RIBEIRO MENDONCA,36 - CLINICA/CENTRO DE ESPECIALIDADE,PESSOA_JURÍDICA,RUA COMANDANTE PAULO LASMAR,S/N,BAIRRO DA PAZ,69049110,NA,NA,SIM,X,NA,NA,NA,NA,NA,X,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,-60.02920959999999,-3.0534168,NA,NA/NA,"R. Cmte. Paulo Lasmar - Da Paz, Manaus - AM, 69049-110, Brazil","RUA COMANDANTE PAULO LASMAR, S/N - MANAUS, AM - CEP 69049110",route,gmaps_prob1,2017,2
201710,AM,MANAUS,130260,2018403,HOSPITAL UNIVERSITARIO FRANCISCA MENDES,07 - HOSPITAL ESPECIALIZADO,PESSOA_JURÍDICA,RUA CAMAPUA,108,CIDADE NOVA II,69097720,NA,NA,SIM,X,X,NA,X,NA,NA,NA,X,NA,X,NA,NA,NA,X,NA,NA,NA,NA,1,1,1,-59.9636306,-3.0319051,NA,NA/NA,"Av. Camapuã, 108 - Cidade Nova, Manaus - AM, 69099-028, Brazil","RUA CAMAPUA, 108 - MANAUS, AM - CEP 69097720",street_number,gmaps_prob1,2017,2
201710,AM,MANAUS,130260,5357004,CENTRO REF SAUDE TRABALHADOR,36 - CLINICA/CENTRO DE ESPECIALIDADE,PESSOA_JURÍDICA,RUA CMDE PAULO LASMAR,S/N,BAIRRO DA PAZ,69049110,NA,NA,SIM,X,NA,NA,NA,NA,NA,X,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,-60.02920959999999,-3.0534168,NA,NA/NA,"R. Cmte. Paulo Lasmar - Da Paz, Manaus - AM, 69049-110, Brazil","RUA CMDE PAULO LASMAR, S/N - MANAUS, AM - CEP 69049110",route,gmaps_prob1,2017,2
201710,AM,MANAUS,130260,2012472,HOSPITAL E P S DA CRIANCA DA ZONA SUL,07 - HOSPITAL ESPECIALIZADO,PESSOA_JURÍDICA,AV CODAJAS,26,CACHOEIRINHA,69065130,NA,NA,SIM,X,X,X,NA,NA,NA,NA,X,NA,NA,NA,NA,NA,X,NA,NA,NA,NA,1,NA,1,-60.0030037,-3.1191691,NA,NA/NA,"Av. Codajás, 26 - Praça 14 de Janeiro, Manaus - AM, 69079-000, Brazil","AV CODAJAS, 26 - MANAUS, AM - CEP 69065130",street_number,gmaps_prob1,2017,1
201710,AM,MANAUS,130260,3151794,MATERNIDADE DE REFERENCIA ANA BRAGA,07 - HOSPITAL ESPECIALIZADO,PESSOA_JURÍDICA,AV ALAMEDA COSME FERREIRA,S/N,ALEIXO,69083000,NA,NA,SIM,X,X,X,NA,NA,NA,NA,X,NA,X,NA,NA,NA,X,NA,NA,NA,NA,1,1,1,-59.9369376,-3.0770268,NA,NA/NA,"Av. Cosme Ferreira, Manaus - AM, 69083-000, Brazil","AV ALAMEDA COSME FERREIRA, S/N - MANAUS, AM - CEP 69083000",route,gmaps_prob1,2017,2
201710,AM,MANAUS,130260,2015420,POLI DR ANTONIO REIS,04 - POLICLINICA,PESSOA_JURÍDICA,RUA SAO LAZARO,S/N,SAO LAZARO,69073610,NA,NA,SIM,X,NA,NA,NA,NA,NA,X,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,-59.99400009999999,-3.1348986,NA,NA/NA,"R. São Lázaro, Manaus - AM, 69073-090, Brazil","RUA SAO LAZARO, S/N - MANAUS, AM - CEP 69073610",route,gmaps_prob1,2017,1
201710,AM,MANAUS,130260,2017318,MATERNIDADE DONA NAZIRA DAOU,07 - HOSPITAL ESPECIALIZADO,PESSOA_JURÍDICA,AV CAMAPUA,108,CIDADE NOVA II,69097720,NA,NA,SIM,X,X,X,NA,NA,NA,NA,X,NA,NA,NA,NA,NA,X,NA,NA,NA,NA,1,NA,1,-59.9636306,-3.0319051,NA,NA/NA,"Av. Camapuã, 108 - Cidade Nova, Manaus - AM, 69099-028, Brazil","AV CAMAPUA, 108 - MANAUS, AM - CEP 69097720",street_number,gmaps_prob1,2017,2
201710,BA,SALVADOR,292740,6388280,USF ALTO DA TEREZINHA,02 - CENTRO DE SAUDE/UNIDADE BASICA,PESSOA_JURÍDICA,LADEIRA DA TEREZINHA,S/N,ALTO DA TEREZINHA,40711060,NA,NA,SIM,X,NA,X,NA,NA,NA,X,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,-38.4801166,-12.8826505,NA,NA/NA,"Ladeira da Teresinha - Alto da Terezinha, Salvador - BA, 40711-060, Brazil","LADEIRA DA TEREZINHA, S/N - SALVADOR, BA - CEP 40711060",route,gmaps_prob1,2017,1
201710,BA,SALVADOR,292740,0005932,CLINICA OFTALMOLOGICA URBANO SAMPAIO FILHO,36 - CLINICA/CENTRO DE ESPECIALIDADE,PESSOA_JURÍDICA,RUA VISCONDE DE ROSARIO EDF AUGUSTO BORGES,114,COMERCIO,40015050,NA,NA,SIM,X,NA,NA,NA,NA,NA,NA,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,-38.5134367,-12.9724822,NA,NA/NA,"R. Visc. do Rosário, 114 - Comercio, Salvador - BA, 40015-050, Brazil","RUA VISCONDE DE ROSARIO EDF AUGUSTO BORGES, 114 - SALVADOR, BA - CEP 40015050",street_number,gmaps_prob1,2017,1
201710,BA,SALVADOR,292740,7872828,USF NOVA BRASILIA,02 - CENTRO DE SAUDE/UNIDADE BASICA,PESSOA_JURÍDICA,AV ALIOMAR BALEEIRO KM 7 5,S/N,NOVA BRASILIA,41350275,NA,NA,SIM,X,NA,NA,NA,NA,NA,X,NA,X,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,-38.4078949,-12.9186667,NA,NA/NA,"Av. Aliomar Baleeiro, Salvador - BA, Brazil","AV ALIOMAR BALEEIRO KM 7 5, S/N - SALVADOR, BA - CEP 41350275",route,gmaps_prob1,2017,1
