co_entidade,code_muni,no_entidade,mat_infantil,mat_fundamental,mat_medio,nu_funcionarios,endereco,SearchedAddress,PrecisionDepth,MatchedAddress,geocode_engine,lon,lat,year,qt_funcionarios,n
21015430,2111300,UEB LUIS MARTINS,1,0,0,14,"TRAVESSA DA FORTUNA, 00. BOM MILAGRE. 65030-620 São Luís - MA.","TRAVESSA DA FORTUNA, 00. BOM MILAGRE. 65030-620 São Luís - MA.",inep,"TRAVESSA DA FORTUNA, 00. BOM MILAGRE. 65030-620 São Luís - MA.",inep,-44.2809549998492,-2.53983790520579,2017,NA,1
21016461,2111300,UI GOV MATOS CARVALHO,0,1,0,28,"RUA RAIMUNDO CORREA, MONTE CASTELO. 65031-510 São Luís - MA.","RUA RAIMUNDO CORREA, MONTE CASTELO. 65031-510 São Luís - MA.",inep,"RUA RAIMUNDO CORREA, MONTE CASTELO. 65031-510 São Luís - MA.",inep,-44.28103,-2.53974,2017,NA,1
21020957,2111300,UEB ENS FUND JOSEFINA SERRAO,0,1,0,13,"RUA PRINCIPAL, 110 PORTO GRANDE. 65091-100 São Luís - MA.","RUA PRINCIPAL, 110 PORTO GRANDE. 65091-100 São Luís - MA.",inep,"RUA PRINCIPAL, 110 PORTO GRANDE. 65091-100 São Luís - MA.",inep,-44.35496,-2.660025,2017,NA,1
21021023,2111300,UEB ENS FUND MANUELA VARELA,0,1,0,13,"RUA PARNAUACU, 290 CAJUEIRO. 65091-003 São Luís - MA.","RUA PARNAUACU, 290 CAJUEIRO. 65091-003 São Luís - MA.",inep,"RUA PARNAUACU, 290 CAJUEIRO. 65091-003 São Luís - MA.",inep,-44.35172282,-2.61948258,2017,NA,1
21021201,2111300,UEB ENS FUND PROTECAO DE JESUS,0,1,0,25,"RUA PRINCIPAL, 100 MATO GROSSO. 65061-020 São Luís - MA.","RUA PRINCIPAL, 100 MATO GROSSO. 65061-020 São Luís - MA.",inep,"RUA PRINCIPAL, 100 MATO GROSSO. 65061-020 São Luís - MA.",inep,-44.18467,-2.67193666666667,2017,NA,1
21021228,2111300,UEB ENS FUND ROSA DE SARON,0,1,0,15,"RUA PRINCIPAL, 100 CAJUPARI. 65059-820 São Luís - MA.","RUA PRINCIPAL, 100 CAJUPARI. 65059-820 São Luís - MA.",inep,"RUA PRINCIPAL, 100 CAJUPARI. 65059-820 São Luís - MA.",inep,-44.2107783333333,-2.650025,2017,NA,1
21240345,2111300,UEB PROTECAO DE JESUS,1,0,0,6,"RUA PRINCIPAL, MATO GROSSO. 65061-020 São Luís - MA.","RUA PRINCIPAL, MATO GROSSO. 65061-020 São Luís - MA.",inep,"RUA PRINCIPAL, MATO GROSSO. 65061-020 São Luís - MA.",inep,-44.1847749240696,-2.67199834808707,2017,NA,1
21240353,2111300,UEB JOSEFINA SERRAO,1,0,0,7,"RUA PRINCIPAL, 110 VILA MARANHAO. PORTO GRANDE. 65091-100 São Luís - MA.","RUA PRINCIPAL, 110 VILA MARANHAO. PORTO GRANDE. 65091-100 São Luís - MA.",inep,"RUA PRINCIPAL, 110 VILA MARANHAO. PORTO GRANDE. 65091-100 São Luís - MA.",inep,-44.35489,-2.660079,2017,NA,1
21240469,2111300,UEB MANUELA VARELA,1,0,0,4,"RUA PARNAUACU, 289 CAJUEIRO. 65091-003 São Luís - MA.","RUA PARNAUACU, 289 CAJUEIRO. 65091-003 São Luís - MA.",inep,"RUA PARNAUACU, 289 CAJUEIRO. 65091-003 São Luís - MA.",inep,-44.35173486,-2.61954134,2017,NA,1
21257515,2111300,UEB ROSA DE SARON,1,0,0,4,"RUA PRINCIPAL, 100 CAJUPARI. 65002-900 São Luís - MA.","RUA PRINCIPAL, 100 CAJUPARI. 65002-900 São Luís - MA.",inep,"RUA PRINCIPAL, 100 CAJUPARI. 65002-900 São Luís - MA.",inep,-44.2108566666667,-2.64997833333333,2017,NA,1
23071087,2304400,COLEGIO ESTADUAL PRESIDENTE HUMBERTO DE ALENCAR CASTELO BRANCO,0,0,1,75,"RUA IRMA BAZET, 210 ITAOCA. 60420-670 Fortaleza - CE.","RUA IRMA BAZET, 210 ITAOCA. 60420-670 Fortaleza - CE.",inep,"RUA IRMA BAZET, 210 ITAOCA. 60420-670 Fortaleza - CE.",inep,-38.5545385,-3.7623145,2017,NA,1
23078413,2304400,ESCOLA MUNICIPAL VICENTE FIALHO,1,1,0,109,"RUA IRMA BAZET, 193 MONTESE. 60420-670 Fortaleza - CE.","RUA IRMA BAZET, 193 MONTESE. 60420-670 Fortaleza - CE.",inep,"RUA IRMA BAZET, 193 MONTESE. 60420-670 Fortaleza - CE.",inep,-38.55455,-3.762386,2017,NA,1
24058815,2408102,ESC MUL CHICO SANTEIRO,1,1,0,62,"RUA DA CRUZ, NORDESTE. 59042-150 Natal - RN.","RUA DA CRUZ, NORDESTE. 59042-150 Natal - RN.",inep,"RUA DA CRUZ, NORDESTE. 59042-150 Natal - RN.",inep,-35.2327942,-5.8205669,2017,NA,1
24058947,2408102,ESC MUL PROF FCO DE ASSIS VARELA CAVALCANTI,0,1,0,45,"RUA DA LAGOA SECA, - GUARAPES. 59074-750 Natal - RN.","RUA DA LAGOA SECA, - GUARAPES. 59074-750 Natal - RN.",inep,"RUA DA LAGOA SECA, - GUARAPES. 59074-750 Natal - RN.",inep,-35.2748736024168,-5.84140777676687,2017,NA,1
24077330,2408102,CMEI PROFA DARILENE BRANDAO MARTINS,1,0,0,23,"AGOSTINHO LEITAO, 322 ALECRIM. 59040-090 Natal - RN.","AGOSTINHO LEITAO, 322 ALECRIM. 59040-090 Natal - RN.",inep,"AGOSTINHO LEITAO, 322 ALECRIM. 59040-090 Natal - RN.",inep,-35.2328043,-5.8206746,2017,NA,1
24334316,2408102,EE DO GUARAPES - ENS MEDIO,0,0,1,17,"RUA DA LAGOA SECA, 0 GUARAPES. 59074-750 Natal - RN.","RUA DA LAGOA SECA, 0 GUARAPES. 59074-750 Natal - RN.",inep,"RUA DA LAGOA SECA, 0 GUARAPES. 59074-750 Natal - RN.",inep,-35.27481,-5.841441,2017,NA,1
26117916,2611606,CENTRO DE EDUCACAO DE JOVENS E ADULTOS POETA JOAQUIM CARDOZO,0,1,1,35,"AVENIDA DOUTOR JOSE RUFINO, 3071 TEJIPIO. 50930-000 Recife - PE.","AVENIDA DOUTOR JOSE RUFINO, 3071 TEJIPIO. 50930-000 Recife - PE.",inep,"AVENIDA DOUTOR JOSE RUFINO, 3071 TEJIPIO. 50930-000 Recife - PE.",inep,-34.94991321,-8.09198641,2017,NA,1
26123126,2611606,ESCOLA MUNICIPAL VILA SAO MIGUEL,1,1,0,44,"RUBIACEA, 147 AFOGADOS. 50770-790 Recife - PE.","RUBIACEA, 147 AFOGADOS. 50770-790 Recife - PE.",inep,"RUBIACEA, 147 AFOGADOS. 50770-790 Recife - PE.",inep,-34.9210569,-8.04964,2017,NA,1
26123479,2611606,ESCOLA ALBERTO TORRES,0,0,1,60,"AVENIDA DOUTOR JOSE RUFINO, 2993 TEJIPIO. 50930-000 Recife - PE.","AVENIDA DOUTOR JOSE RUFINO, 2993 TEJIPIO. 50930-000 Recife - PE.",inep,"AVENIDA DOUTOR JOSE RUFINO, 2993 TEJIPIO. 50930-000 Recife - PE.",inep,-34.94990576,-8.09192581,2017,NA,1
26125358,2611606,ESCOLA MONTE VERDE,0,1,1,46,"RUA MARIA LIMA DA SILVA, SN JARDIM MONTE VERDE. COHAB. 51335-290 Recife - PE.","RUA MARIA LIMA DA SILVA, SN JARDIM MONTE VERDE. COHAB. 51335-290 Recife - PE.",street_number,"Av. Chapada do Araripe, nº 51 - COHAB, Recife - PE, 51340-255, Brazil",gmaps_prob1,-34.9599931,-8.1199915,2017,NA,1
26126630,2611606,ESCOLA MUNICIPAL SAO CRISTOVAO,0,1,0,54,"CASSITERITA, 395 BREJO DA GUABIRABA. 52291-140 Recife - PE.","CASSITERITA, 395 BREJO DA GUABIRABA. 52291-140 Recife - PE.",inep,"CASSITERITA, 395 BREJO DA GUABIRABA. 52291-140 Recife - PE.",inep,-34.9352766,-7.9932895,2017,NA,1
26153475,2611606,ESCOLA MUNICIPAL VILA SANTA LUZIA,1,1,0,55,"ELIZEU CAVALCANTI, 52 CORDEIRO. 50711-180 Recife - PE.","ELIZEU CAVALCANTI, 52 CORDEIRO. 50711-180 Recife - PE.",inep,"ELIZEU CAVALCANTI, 52 CORDEIRO. 50711-180 Recife - PE.",inep,-34.9210116666667,-8.04955666666667,2017,NA,1
26170663,2611606,ESCOLA MUNICIPAL JARDIM MONTE VERDE,1,1,0,43,"CHAPADA DO ARARIPE, 39 MONT VERDE. COHAB. 51335-000 Recife - PE.","CHAPADA DO ARARIPE, 39 MONT VERDE. COHAB. 51335-000 Recife - PE.",street_number,"Av. Chapada do Araripe, nº 51 - COHAB, Recife - PE, 51340-255, Brazil",gmaps_prob1,-34.9599931,-8.1199915,2017,NA,1
26171740,2611606,ESCOLA MUNICIPAL DA GUABIRABA,1,1,0,64,"CASSITERITA, 395 BREJO DA GUABIRABA. 52291-140 Recife - PE.","CASSITERITA, 395 BREJO DA GUABIRABA. 52291-140 Recife - PE.",inep,"CASSITERITA, 395 BREJO DA GUABIRABA. 52291-140 Recife - PE.",inep,-34.9352522,-7.99341,2017,NA,1
27038572,2704302,ESCOLA ESTADUAL PROF ANISIO TEIXEIRA,0,1,0,42,"RUA EDGAR DE GOES MONTEIRO, SN 01ªCRE. PRADO. 57010-140 Maceió - AL.","RUA EDGAR DE GOES MONTEIRO, SN 01ªCRE. PRADO. 57010-140 Maceió - AL.",inep,"RUA EDGAR DE GOES MONTEIRO, SN 01ªCRE. PRADO. 57010-140 Maceió - AL.",inep,-35.74972,-9.6718,2017,NA,1
27215873,2704302,ESCOLA MUNICIPAL LINDOLFO COLLOR,0,1,0,36,"AV GOVTEOBALDO BARBOSA, SN CONJ JOAQUIM LEAO. VERGEL DO LAGO. 57014-510 Maceió - AL.","AV GOVTEOBALDO BARBOSA, SN CONJ JOAQUIM LEAO. VERGEL DO LAGO. 57014-510 Maceió - AL.",inep,"AV GOVTEOBALDO BARBOSA, SN CONJ JOAQUIM LEAO. VERGEL DO LAGO. 57014-510 Maceió - AL.",inep,-35.76141714,-9.66087743,2017,NA,1
27222462,2704302,CRECHE LINDOLFO COLLOR,1,0,0,32,"CONJ JOAQUIM LEAO, SN DISQUE ESTRADA. 57014-510 Maceió - AL.","CONJ JOAQUIM LEAO, SN DISQUE ESTRADA. 57014-510 Maceió - AL.",inep,"CONJ JOAQUIM LEAO, SN DISQUE ESTRADA. 57014-510 Maceió - AL.",inep,-35.7613379,-9.6609457,2017,NA,1
27226743,2704302,CENTRO MUNICIPAL DE EDUCACAO INFANTIL SAO SEBASTIAO,1,0,0,28,"RUA EDGAR DE GOES MONTEIRO, 817 PRADO. 57010-140 Maceió - AL.","RUA EDGAR DE GOES MONTEIRO, 817 PRADO. 57010-140 Maceió - AL.",inep,"RUA EDGAR DE GOES MONTEIRO, 817 PRADO. 57010-140 Maceió - AL.",inep,-35.7497895,-9.6718885,2017,NA,1
29179491,2927408,EE - CENTRO EDUCACIONAL CARNEIRO RIBEIRO - CLASSE IV,0,1,1,60,"R. RUA SALDANHA MARINHO, 194 CAIXA DAGUA. 40323-010 Salvador - BA.","R. RUA SALDANHA MARINHO, 194 CAIXA DAGUA. 40323-010 Salvador - BA.",street_number,"R. Saldanha Marinho, 194 - Caixa D'agua, Salvador - BA, 40323-010, Brazil",gmaps_prob1,-38.4906314,-12.9585276,2017,NA,1
29180490,2927408,EE - CENTRO EDUCACIONAL EDGAR SANTOS,0,1,1,77,"R. RUA PREDILIANO PITA, 019 GARCIA. 40100-200 Salvador - BA.","R. RUA PREDILIANO PITA, 019 GARCIA. 40100-200 Salvador - BA.",inep,"R. RUA PREDILIANO PITA, 019 GARCIA. 40100-200 Salvador - BA.",inep,-38.51207,-12.9939,2017,NA,1
29182115,2927408,EE - COLEGIO ESTADUAL DONA LEONOR CALMON,0,0,1,124,"R. CONJ. FAZENA GRANDE II - JAGUARIPE, S/N PD,PD,PD. FAZENDA GRANDE II. 41310-355 Salvador - BA.","R. CONJ. FAZENA GRANDE II - JAGUARIPE, S/N PD,PD,PD. FAZENDA GRANDE II. 41310-355 Salvador - BA.",inep,"R. CONJ. FAZENA GRANDE II - JAGUARIPE, S/N PD,PD,PD. FAZENDA GRANDE II. 41310-355 Salvador - BA.",inep,-38.40622,-12.90436,2017,NA,1
29184096,2927408,ESCOLA MUNICIPAL ACELINO MAXIMIANO DA ENCARNACAO,0,1,0,45,"RUA FLAVIO CAVALCANTE, 57 SUSSUARANA. SUSSUARANA. 41214-490 Salvador - BA.","RUA FLAVIO CAVALCANTE, 57 SUSSUARANA. SUSSUARANA. 41214-490 Salvador - BA.",inep,"RUA FLAVIO CAVALCANTE, 57 SUSSUARANA. SUSSUARANA. 41214-490 Salvador - BA.",inep,-38.4425789,-12.9304495,2017,NA,1
29186005,2927408,ESCOLA MUNICIPAL MANOEL CLEMENTE FERREIRA,0,1,0,27,"RUA SAO JOSE DE VILA CANARIA, 87 VILA CANARIA. VILA CANARIA. 41390-365 Salvador - BA.","RUA SAO JOSE DE VILA CANARIA, 87 VILA CANARIA. VILA CANARIA. 41390-365 Salvador - BA.",inep,"RUA SAO JOSE DE VILA CANARIA, 87 VILA CANARIA. VILA CANARIA. 41390-365 Salvador - BA.",inep,-38.4432193,-12.9130301,2017,NA,1
29186013,2927408,ESCOLA MUNICIPAL MANOEL DE ABREU,0,1,0,24,"RUA SAO MARCOS, 289 SAO MARCOS. 41253-281 Salvador - BA.","RUA SAO MARCOS, 289 SAO MARCOS. 41253-281 Salvador - BA.",inep,"RUA SAO MARCOS, 289 SAO MARCOS. 41253-281 Salvador - BA.",inep,-38.4431829,-12.9130636,2017,NA,1
29186021,2927408,ESCOLA MUNICIPAL MANOEL FLORENCIO,1,1,0,28,"R SAO LOURENCO, 36 LIBERDADE. 40370-190 Salvador - BA.","R SAO LOURENCO, 36 LIBERDADE. 40370-190 Salvador - BA.",inep,"R SAO LOURENCO, 36 LIBERDADE. 40370-190 Salvador - BA.",inep,-38.481515,-12.9611983,2017,NA,2
29186811,2927408,ESCOLA MUNICIPAL PAROQUIAL DA VITORIA,1,1,0,32,"PRACA RODRIGUES LIMA, VITORIA. VITORIA. 40081-305 Salvador - BA.","PRACA RODRIGUES LIMA, VITORIA. VITORIA. 40081-305 Salvador - BA.",inep,"PRACA RODRIGUES LIMA, VITORIA. VITORIA. 40081-305 Salvador - BA.",inep,-38.5281973,-12.9963857,2017,NA,1
29187044,2927408,ESCOLA MUNICIPAL PRESIDENTE CASTELO BRANCO,1,0,0,16,"AVENIDA SAO ROQUE, 17 REGIS PACHECO. URUGUAI. 40450-355 Salvador - BA.","AVENIDA SAO ROQUE, 17 REGIS PACHECO. URUGUAI. 40450-355 Salvador - BA.",inep,"AVENIDA SAO ROQUE, 17 REGIS PACHECO. URUGUAI. 40450-355 Salvador - BA.",inep,-38.4974432,-12.9305876,2017,NA,3
29187087,2927408,ESCOLA MUNICIPAL PRIMEIRO DE MAIO,1,1,0,22,"RUA SANTA CLARA, 164 BX DO PETROLEO. MASSARANDUBA. 40435-280 Salvador - BA.","RUA SANTA CLARA, 164 BX DO PETROLEO. MASSARANDUBA. 40435-280 Salvador - BA.",inep,"RUA SANTA CLARA, 164 BX DO PETROLEO. MASSARANDUBA. 40435-280 Salvador - BA.",inep,-38.5029085,-12.9256199,2017,NA,2
29187680,2927408,ESCOLA MUNICIPAL RUI BARBOSA,0,1,0,26,"RUA JOAO MARTINS, S/N PARIPE. PARIPE. 40820-120 Salvador - BA.","RUA JOAO MARTINS, S/N PARIPE. PARIPE. 40820-120 Salvador - BA.",inep,"RUA JOAO MARTINS, S/N PARIPE. PARIPE. 40820-120 Salvador - BA.",inep,-38.4694712,-12.8391589,2017,NA,1
29188121,2927408,ESCOLA MUNICIPAL SOROR JOANA ANGELICA,0,1,0,33,"RUA SANTA CLARA DO DESTERRO, 33 NAZARE. 40040-450 Salvador - BA.","RUA SANTA CLARA DO DESTERRO, 33 NAZARE. 40040-450 Salvador - BA.",inep,"RUA SANTA CLARA DO DESTERRO, 33 NAZARE. 40040-450 Salvador - BA.",inep,-38.5099729,-12.9796917,2017,NA,1
29188431,2927408,EE - ESCOLA TEODORO SAMPAIO,0,1,0,55,"R. RUA 8 NOVEMBRO, 300 PIRAJA. 41290-330 Salvador - BA.","R. RUA 8 NOVEMBRO, 300 PIRAJA. 41290-330 Salvador - BA.",inep,"R. RUA 8 NOVEMBRO, 300 PIRAJA. 41290-330 Salvador - BA.",inep,-38.46496,-12.90145,2017,NA,1
29188458,2927408,EE - COLEGIO ESTADUAL TEREZA HELENA MATA PIRES,0,1,1,40,"NULL DO CAJU, 00174 ALTO DO CABRITO. 40484-440 Salvador - BA.","NULL DO CAJU, 00174 ALTO DO CABRITO. 40484-440 Salvador - BA.",route,"Rua do Caju - Alto do Cabrito, Salvador - BA, 40484-440, Brazil",gmaps_prob1,-38.4781112,-12.9090605,2017,NA,1
29188512,2927408,ESCOLA MUNICIPAL UNIAO COMUNITARIA,1,1,0,32,"RUA COMUNIDADE, 54 JARDIM CRUZEIRO. VILA RUY BARBOSA. 40430-255 Salvador - BA.","RUA COMUNIDADE, 54 JARDIM CRUZEIRO. VILA RUY BARBOSA. 40430-255 Salvador - BA.",inep,"RUA COMUNIDADE, 54 JARDIM CRUZEIRO. VILA RUY BARBOSA. 40430-255 Salvador - BA.",inep,-38.4996927,-12.9377445,2017,NA,1
29188547,2927408,ESCOLA MUNICIPAL URSULA CATARINO,1,1,0,47,"RUA URSULA CATARINO, 00048 PLATAFORMA. PLATAFORMA. 40710-680 Salvador - BA.","RUA URSULA CATARINO, 00048 PLATAFORMA. PLATAFORMA. 40710-680 Salvador - BA.",inep,"RUA URSULA CATARINO, 00048 PLATAFORMA. PLATAFORMA. 40710-680 Salvador - BA.",inep,-38.4890625,-12.8992209,2017,NA,1
29188636,2927408,ESCOLA MUNICIPAL VILA VICENTINA,0,1,0,37,"ESTRADA DA LIBERDADE, 07 LAPINHA. LIBERDADE. 40325-220 Salvador - BA.","ESTRADA DA LIBERDADE, 07 LAPINHA. LIBERDADE. 40325-220 Salvador - BA.",inep,"ESTRADA DA LIBERDADE, 07 LAPINHA. LIBERDADE. 40325-220 Salvador - BA.",inep,-38.4845942,-12.9630968,2017,NA,3
29188814,2927408,CENTRO MUNICIPAL DE EDUCACAO INFANTIL DR AUGUSTO LOPES PONTES,1,0,0,34,"PRACA LUIZ TARQUINIO, 596 BOA VIAGEM. 40414-120 Salvador - BA.","PRACA LUIZ TARQUINIO, 596 BOA VIAGEM. 40414-120 Salvador - BA.",inep,"PRACA LUIZ TARQUINIO, 596 BOA VIAGEM. 40414-120 Salvador - BA.",inep,-38.5029609,-12.9256641,2017,NA,2
29189071,2927408,ESCOLA MUNICIPAL ALFREDO AMORIM,0,1,0,78,"LARGO DO PAPAGAIO, S/N RIBEIRA. 40421-630 Salvador - BA.","LARGO DO PAPAGAIO, S/N RIBEIRA. 40421-630 Salvador - BA.",inep,"LARGO DO PAPAGAIO, S/N RIBEIRA. 40421-630 Salvador - BA.",inep,-38.4999964,-12.9367014,2017,NA,1
29189110,2927408,ESCOLA MUNICIPAL ALMERINDA COSTA,1,1,0,28,"RUA VICENTE DA SILVA ALVES, 31 URUGUAI. URUGUAI. 40450-670 Salvador - BA.","RUA VICENTE DA SILVA ALVES, 31 URUGUAI. URUGUAI. 40450-670 Salvador - BA.",inep,"RUA VICENTE DA SILVA ALVES, 31 URUGUAI. URUGUAI. 40450-670 Salvador - BA.",inep,-38.4996416,-12.9378345,2017,NA,1
29189527,2927408,ESCOLA MUNICIPAL BARAO DO RIO BRANCO,0,1,0,23,"RUA VITOR SERRA, 248 PERO VAZ. 40340-290 Salvador - BA.","RUA VITOR SERRA, 248 PERO VAZ. 40340-290 Salvador - BA.",inep,"RUA VITOR SERRA, 248 PERO VAZ. 40340-290 Salvador - BA.",inep,-38.484539,-12.9631705,2017,NA,3
29189837,2927408,ESCOLA MUNICIPAL CARMELITANA 25 DE AGOSTO,1,1,0,22,"RUA LUIZ REGIS PACHECO, 860 URUGUAI. 40451-360 Salvador - BA.","RUA LUIZ REGIS PACHECO, 860 URUGUAI. 40451-360 Salvador - BA.",inep,"RUA LUIZ REGIS PACHECO, 860 URUGUAI. 40451-360 Salvador - BA.",inep,-38.4973093,-12.9305348,2017,NA,3
29189845,2927408,ESCOLA MUNICIPAL CARMELITANA DO MENINO JESUS,1,1,0,55,"PRACA COMANDANTE ELIZIARIO BARBOSA, 132 URUGUAI. URUGUAI. 40450-170 Salvador - BA.","PRACA COMANDANTE ELIZIARIO BARBOSA, 132 URUGUAI. URUGUAI. 40450-170 Salvador - BA.",inep,"PRACA COMANDANTE ELIZIARIO BARBOSA, 132 URUGUAI. URUGUAI. 40450-170 Salvador - BA.",inep,-38.4973597,-12.9305837,2017,NA,4
29190037,2927408,ESCOLA MUNICIPAL CENTRO SOCIAL MANGUEIRA,1,1,0,47,"TRAVESSA RUBEM AMORIM, 132 MASSARANDUBA. MASSARANDUBA. 40436-880 Salvador - BA.","TRAVESSA RUBEM AMORIM, 132 MASSARANDUBA. MASSARANDUBA. 40436-880 Salvador - BA.",inep,"TRAVESSA RUBEM AMORIM, 132 MASSARANDUBA. MASSARANDUBA. 40436-880 Salvador - BA.",inep,-38.5029071,-12.9256226,2017,NA,2
29190312,2927408,ESCOLA MUNICIPAL SAO JUDAS TADEU,0,1,0,27,"RUA MARQUES DE MARICA, 100 PAU MIUDO. 40310-000 Salvador - BA.","RUA MARQUES DE MARICA, 100 PAU MIUDO. 40310-000 Salvador - BA.",inep,"RUA MARQUES DE MARICA, 100 PAU MIUDO. 40310-000 Salvador - BA.",inep,-38.4815552,-12.9611206,2017,NA,2
29190339,2927408,ESCOLA MUNICIPAL JOSAFA CARLOS BORGES,0,1,0,31,"RUA NEVES DA ROCHA, 39 CAIXA D AGUA. 40320-530 Salvador - BA.","RUA NEVES DA ROCHA, 39 CAIXA D AGUA. 40320-530 Salvador - BA.",inep,"RUA NEVES DA ROCHA, 39 CAIXA D AGUA. 40320-530 Salvador - BA.",inep,-38.4845335,-12.963027,2017,NA,3
